% File Generated: 02-Feb-2012 01:22:39
% Dataset Collection: Scientific Committee on Antarctic Research
% Type: TAVG - Monthly
% Version: LATEST
% Dataset Hash: e0e288f6c3f347cf7f7b2e1ba302faa2
% 
% ------------------------------------
% 
% The associated dataset name is shown above, while this file should have the 
% name
% 
% 	data_characterization.txt
% 
% For general information about this data product, please refer to the data set 
% readme file: README.txt
% 
% The current file contains summary data about the information available in each 
% station's temperature time series.  The main temperature data, other secondary 
% data, and station metadata can be found in other files in the same directory 
% and should be distributed together.
% 
% The columns contained in this file are as follows:
% 
% {'Station ID', 'Series Number', 'Number of Data Points', ...
%     'Earliest Date', 'Most Recent Date', 'Unique Times', 'Missing Values', ...
%     'TOB Values', 'Contrib Values', 'Max Value', 'Min Value', 'Mean', 'Median', 
% ...
%     'First Quartile', 'Last Quartile', 'Standard Deviation', 'Bad Flags'
% 
% 	Station ID: A unique integer identifying each station.  Metadata for the site 
% is contained in the associated files labeled "site_summary" or "site_detail".
% 
% 	Series Number: An integer identifying each time series at the specified site.  
% In many cases there is only one time series for each site, and it is labeled 
% "1".  However, sometimes there are multiple instruments or multiple techniques 
% used to report temperature at a given location.  
% 
% 	Number of Data Points: The number of data points reported.  Note that some 
% data products allow for the possibility that multiple values (e.g. an original 
% value and a corrected one) were reported for the same day so the number of data 
% points may be greater than the number of unique time points.  See "data.txt" 
% for additional information on multiply-valued series, if relevant.
% 
% 	Earliest Date: The earliest date for which data is reported.
% 
% 	Most Recent Date: The most recent date for which data is reported.
% 
% 	Unique Times: The number of unique dates reporting data.
% 
% 	Missing Values: The number of reporting oportunities between the earliest and 
% most recent date for which there is no data reported.
% 
% 	TOB Values Known: The number of data values where a time of observation is 
% also reported.  Time of observation defines the local climatological day.  
% Rather than reporting midnight-to-midnight values, it is not uncommon for low 
% tech stations to be recorded every morning.  In which case the local 
% climatological day may run from 6AM-to-6AM.  Local time of observation may 
% change a number of times during the history of a station.  TOB values are most 
% often reported for US stations and are only rarely available in other parts of 
% the world.
% 
% 	Underlying Values Known: The number of data values for which the underlying 
% number of observations that contributed to the current value were reported.  
% Monthly or daily averages often derive from underyling data recorded daily, 
% hourly, or at some other frequency.  When possible, we report the number of 
% underlying values that were combined into the current data point.
% 
% 	Max Value: The highest temperature reported in this record.  Temperature in 
% Celsius. 
% 
% 	Min Value: The lowest temperature reported in this record.  Temperature in 
% Celsius. 
% 
% 	Mean: The mean temperature reported in this record.  Temperature in Celsius. 
% 
% 	Median: The median temperature reported in this record.  Temperature in 
% Celsius. 
% 
% 	First Quartile: The temperature at which 1/4 of the reported data is below 
% this value.  Temperature in Celsius. 
% 
% 	Last Quartile: The temperature at which 1/4 of the reported data is above this 
% value.  Temperature in Celsius. 
% 
% 	Standard Deviation: The standard deviation of the temperature data in degrees 
% Celsius.
% 
% 	Bad Flags: The number of data values in the current data set that quality 
% control processes suggested are bad.
% 
% 
% ------------------------------------
% Station ID, Series Number, Number of Data Points, Earliest Date, Most Recent Date, Unique Times, Missing Values, TOB Values Known, Underyling Values Known, Max Value, Min Value, Mean, Median, First Quartile, Last Quartile, Standard Deviation, Bad Flags
% 
3040	1	52	1994.958	2000.625	52	17	0	52	  2.600	-10.900	 -1.835	 -1.250	 -3.300	  0.500	  3.199	0	
3068	1	512	1969.292	2011.875	512	0	0	491	  2.800	-13.200	 -2.296	 -1.850	 -4.500	  0.300	  3.179	0	
3080	1	450	1961.292	2011.875	450	158	0	450	 11.200	  3.000	  6.888	  6.600	  5.700	  8.300	  1.593	0	
81315	1	659	1957.042	2011.875	659	0	0	658	-24.000	-67.000	-49.436	-54.500	-58.700	-39.500	 12.049	0	
81316	1	212	1986.125	2005.042	212	16	0	212	-20.500	-67.500	-49.926	-55.200	-60.100	-38.500	 12.927	0	
81317	1	211	1993.042	2011.875	211	16	0	211	-21.100	-68.000	-46.195	-51.600	-56.900	-35.600	 12.894	0	
81318	1	201	1993.042	2011.875	201	26	0	201	-22.500	-65.200	-47.812	-52.700	-58.000	-36.900	 12.593	0	
81319	1	118	1994.958	2011.625	118	83	0	118	-10.500	-33.100	-22.481	-24.400	-27.500	-16.800	  6.458	0	
81320	1	192	1986.042	2011.625	192	116	0	192	 -3.600	-46.900	-23.289	-25.950	-30.600	-14.000	 10.137	0	
81321	1	131	1994.958	2011.875	131	73	0	131	 -8.300	-38.300	-22.520	-23.900	-28.600	-16.600	  7.439	0	
81322	1	163	1996.125	2011.875	163	27	0	163	 -5.600	-44.000	-24.475	-27.100	-31.000	-16.200	  9.566	0	
81323	1	265	1986.125	2011.542	265	41	0	265	 -3.000	-48.100	-25.996	-29.800	-34.800	-15.700	 12.010	0	
81324	1	303	1985.042	2011.875	303	20	0	303	 -5.800	-51.000	-28.141	-31.800	-38.000	-17.000	 12.353	0	
81325	1	177	1957.042	1975.042	177	40	0	0	-11.800	-43.700	-27.249	-28.900	-34.000	-19.500	  8.712	0	
81326	1	290	1980.125	2011.875	290	92	0	290	 -9.700	-44.700	-26.448	-27.950	-32.300	-20.200	  8.064	0	
81327	1	235	1987.042	2011.875	235	64	0	235	 -4.700	-38.900	-22.960	-26.100	-30.100	-15.100	  9.393	0	
81328	1	296	1985.042	2011.875	296	27	0	296	 -2.800	-48.200	-26.303	-30.050	-34.900	-16.900	 11.260	0	
81329	1	181	1991.042	2011.125	181	61	0	181	 -7.700	-34.000	-22.180	-24.700	-27.900	-15.900	  7.172	0	
81330	1	604	1958.042	2011.875	604	43	0	601	-28.000	-75.400	-55.078	-59.900	-66.200	-43.400	 13.454	0	
81331	1	192	1991.042	2011.875	192	59	0	192	 -3.600	-41.900	-23.051	-25.650	-30.800	-14.100	 10.018	0	
81332	1	364	1980.292	2011.875	364	16	0	348	 -0.300	-25.300	-13.462	-15.500	-19.000	 -7.400	  6.695	0	
81333	1	197	1990.042	2011.875	197	66	0	197	 -1.200	-36.600	-20.085	-22.400	-28.100	-11.100	  9.875	0	
81334	1	742	1957.208	2009.458	626	2	0	116	 -1.600	-41.400	-19.797	-22.400	-26.800	-11.200	  9.301	0	
81335	1	667	1956.208	2011.875	667	2	0	573	  0.900	-35.800	-16.927	-19.400	-23.600	 -9.000	  8.608	0	
81336	1	337	1980.958	2011.875	337	35	0	337	 -3.300	-43.300	-23.553	-26.300	-31.900	-14.500	 10.463	0	
81337	1	372	1980.125	2011.875	372	10	0	372	 -0.400	-33.200	-16.706	-19.100	-23.400	 -8.700	  8.471	0	
